ID,Nama,Departemen,Gaji,Usia,Lama_Kerja,Status_Karyawan
1,Citra,,5744870,53,9,Kontrak
2,Eka,HRD,5862014,39,9,Tetap
3,Citra,HRD,4894992,55,16,Tetap
4,Budi,QC,4606286,51,2,Kontrak
5,Dewi,HRD,4199766,44,7,Kontrak
6,Citra,Produksi,5139075,41,22,Kontrak
7,Dewi,QC,3651198,44,16,Kontrak
8,Budi,Produksi,5571161,29,19,Kontrak
9,Budi,,5033255,35,6,Tetap
10,Andi,Logistik,5212685,44,20,Tetap
11,Budi,Logistik,4037134,35,1,Tetap
12,Budi,Logistik,6261876,23,5,Kontrak
13,Andi,QC,4550810,25,19,Tetap
14,Andi,Logistik,6112039,45,29,Kontrak
15,Budi,HRD,4926968,57,15,Kontrak
16,Dewi,Logistik,4920411,30,24,Kontrak
17,Eka,QC,3390621,37,9,Tetap
18,Andi,Logistik,6232751,53,27,Kontrak
19,Andi,,4385894,53,16,Kontrak
20,Eka,Produksi,3827199,48,8,Kontrak
21,Budi,HRD,5336051,36,10,Kontrak
22,Dewi,QC,5749213,25,25,Kontrak
23,Citra,QC,4976546,57,23,Kontrak
24,Eka,Produksi,5462844,46,15,Kontrak
25,Citra,QC,5192125,36,13,Tetap
26,Eka,Produksi,5249120,33,11,Kontrak
27,Andi,HRD,5662369,28,2,Kontrak
28,Andi,Logistik,4407784,57,20,Kontrak
29,Budi,Produksi,4635575,45,10,Tetap
30,Dewi,QC,5800047,27,14,Kontrak
31,Eka,QC,4717490,52,13,Kontrak
32,Eka,,6394115,42,16,Tetap
33,Eka,Produksi,4552436,32,28,Tetap
34,Budi,Produksi,5142764,37,24,Kontrak
35,Dewi,Produksi,5147613,35,3,Tetap
36,Citra,Logistik,4845875,46,2,Tetap
37,Budi,Logistik,5232875,35,3,Kontrak
38,Eka,QC,3684804,59,6,Tetap
39,Andi,Logistik,5094599,39,18,Tetap
40,Dewi,Logistik,4401768,35,14,Tetap
41,Citra,Produksi,5633196,45,27,Tetap
42,Andi,QC,4197950,29,8,Kontrak
43,Dewi,Produksi,4043625,46,21,Kontrak
44,Citra,QC,6011914,55,20,Kontrak
45,Citra,Logistik,5638243,49,4,Kontrak
46,Citra,Logistik,6070975,45,12,Kontrak
47,Citra,HRD,4844609,39,16,Tetap
48,Eka,HRD,4906722,55,27,Kontrak
49,Dewi,Logistik,4938804,24,0,Tetap
50,Dewi,HRD,5457242,33,19,Kontrak
51,Eka,Produksi,4762774,57,27,Kontrak
